index,RIC,ADV_USD,Days_Used,Latest_Date
120,BVI.PA,27932506.144906357,75,2026-02-20
121,BWY.L,18390561.35793523,75,2026-02-20
122,BYG.L,9398668.65873205,75,2026-02-20
123,BZU.MI,34364989.43239552,73,2026-02-20
124,CABK.MC,75593205.96228613,75,2026-02-20
125,CAGR.PA,73237714.80611068,75,2026-02-20
126,CAMX.ST,9437774.896205708,75,2026-02-20
127,CAPP.PA,75211550.36134066,75,2026-02-20
128,CARLb.CO,25916342.773011234,75,2026-02-20
129,CARR.PA,38375925.61586162,75,2026-02-20
130,CAST.ST,14754941.665477725,75,2026-02-20
131,CBKG.DE,121858120.29065102,75,2026-02-20
132,CCH.L,30299644.750350118,75,2026-02-20
133,CCL.L,20427866.080581546,75,2026-02-20
134,CDR.WA,22920754.258152734,75,2026-02-20
135,CFR.S,174167151.00572976,75,2026-02-20
136,CLNX.MC,43569206.163686246,75,2026-02-20
137,CMBN.S,8445526.061795726,75,2026-02-20
138,CNA.L,41082812.494621776,75,2026-02-20
139,COFB.BR,5607961.964357282,75,2026-02-20
140,COLOb.CO,27068117.0956089,75,2026-02-20
141,CONG.DE,32897452.382602036,75,2026-02-20
142,CPG.L,147484115.35866013,75,2026-02-20
143,CPRI.MI,54316968.46622062,73,2026-02-20
144,CRDA.L,22332897.797957383,75,2026-02-20
145,CRDI.MI,404514399.726364,73,2026-02-20
146,CTEC.L,29775685.758228805,75,2026-02-20
147,CVC.AS,13979046.290224709,75,2026-02-20
148,CVO.PA,6661013.807096047,75,2026-02-20
149,CWK.L,7989435.786996578,75,2026-02-20
150,DANO.PA,114281045.55412965,75,2026-02-20
151,DANSKE.CO,50727359.267776385,75,2026-02-20
152,DAST.PA,69636657.33802089,75,2026-02-20
153,DB1Gn.DE,114385389.29743162,75,2026-02-20
154,DBKGn.DE,199630570.74533662,75,2026-02-20
155,DCC.L,49148265.21237042,75,2026-02-20
156,DEMANT.CO,13314833.722379755,75,2026-02-20
157,DGE.L,123939127.63589923,75,2026-02-20
158,DHER.DE,26568328.477654956,75,2026-02-20
159,DHLn.DE,93123311.76312952,75,2026-02-20
160,DIOR.PA,2567131.7979797553,75,2026-02-20
161,DKSH.S,6996793.010517392,75,2026-02-20
162,DLG.MI,7048774.961331009,73,2026-02-20
163,DLN.L,7043251.383524126,75,2026-02-20
164,DNB.OL,47052976.53566599,75,2026-02-20
165,DNP.WA,32311976.870643634,75,2026-02-20
166,DPLM.L,25699060.23190402,75,2026-02-20
167,DRX.L,14142642.064887516,75,2026-02-20
168,DSFIR.AS,58583320.113681056,75,2026-02-20
169,DSV.CO,94485012.68143754,75,2026-02-20
170,DTEGn.DE,223275470.78560573,75,2026-02-20
171,DTGGe.DE,49910764.79019943,75,2026-02-20
172,EDEN.PA,22900182.162202053,75,2026-02-20
173,EDP.LS,50701713.89754716,75,2026-02-20
174,EDPR.LS,14083800.429419395,75,2026-02-20
175,ELE.MC,26933672.276832934,75,2026-02-20
176,ELI.BR,17670621.53054041,75,2026-02-20
177,ELIS.PA,8070779.639644292,75,2026-02-20
178,ELISA.HE,20399665.181583818,75,2026-02-20
179,EMG.L,8705097.954822497,75,2026-02-20
180,EMII.MI,121022394.08980152,73,2026-02-20
181,EMSN.S,9781950.08309288,75,2026-02-20
182,ENAG.MC,16781119.628154937,75,2026-02-20
183,ENEI.MI,232804916.0544025,73,2026-02-20
184,ENGIE.PA,113640779.92506537,75,2026-02-20
185,ENI.MI,188499762.5359509,73,2026-02-20
186,ENR1n.DE,346492679.18591326,75,2026-02-20
187,ENT.L,22401204.37693195,75,2026-02-20
188,ENX.PA,44622080.67168268,75,2026-02-20
189,EONGn.DE,79574298.66251019,75,2026-02-20
190,EPIRa.ST,39543131.20296632,75,2026-02-20
191,EQNR.OL,82599825.77960941,75,2026-02-20
192,EQTAB.ST,67102552.47194349,75,2026-02-20
193,ERICb.ST,64958041.87276522,75,2026-02-20
194,ERST.VI,40686717.54758205,75,2026-02-20
195,ESLX.PA,170675802.02715942,75,2026-02-20
196,ESSITYb.ST,40340199.816425696,75,2026-02-20
197,EUFI.PA,21785559.75211903,75,2026-02-20
198,EURA.PA,5700364.789791836,75,2026-02-20
199,EVDG.DE,17069054.222792126,75,2026-02-20
200,EVKn.DE,20278554.738995846,75,2026-02-20
201,EVOG.ST,41092439.96729912,75,2026-02-20
202,EXHO.PA,16152786.219601272,75,2026-02-20
203,EXOR.AS,19931594.76450982,75,2026-02-20
204,EXPN.L,143628917.73700246,75,2026-02-20
205,EZJ.L,25758510.77568034,75,2026-02-20
206,FBK.MI,50446300.19197869,73,2026-02-20
207,FDJU.PA,15217309.196461821,75,2026-02-20
208,FER.MC,46467726.503900245,75,2026-02-20
209,FHZN.S,13698876.013848094,75,2026-02-20
210,FLS.CO,11667849.820156198,75,2026-02-20
211,FMEG.DE,40207606.07501707,75,2026-02-20
212,FNTGn.DE,10242176.092249546,75,2026-02-20
213,FORTUM.HE,30964727.925248984,75,2026-02-20
214,FOUG.PA,31201409.138326503,75,2026-02-20
215,FPE3_p.DE,4594981.924136382,75,2026-02-20
216,FRAG.DE,11370137.347304799,75,2026-02-20
217,FREG.DE,41645273.95022741,75,2026-02-20
218,FRES.L,54477767.826928005,75,2026-02-20
219,FRO.OL,34113854.47632172,75,2026-02-20
220,FTKn.DE,11945712.474421043,75,2026-02-20
221,G1AG.DE,21634687.969539892,75,2026-02-20
222,G24n.DE,22602304.156939328,75,2026-02-20
223,GALD.S,70980641.54376256,75,2026-02-20
224,GALE.S,11832939.407753505,75,2026-02-20
225,GALP.LS,37440742.339356095,75,2026-02-20
226,GASI.MI,97183930.71177435,73,2026-02-20
227,GAW.L,24218138.594635256,75,2026-02-20
228,GBFG.DE,9895356.77074163,75,2026-02-20
229,GBLB.BR,7301076.665540484,75,2026-02-20
230,GEBN.S,52124510.177664466,75,2026-02-20
231,GETIb.ST,13863082.217322785,75,2026-02-20
232,GETP.PA,12769184.650543517,75,2026-02-20
233,GF.S,17390747.56831558,75,2026-02-20
234,GFCP.PA,14321400.840573221,75,2026-02-20
235,GFTU_u.L,4523717.185689407,75,2026-02-20
236,GIVN.S,83550696.85800898,75,2026-02-20
237,GJFG.OL,9196938.933263374,75,2026-02-20
238,GL9.I,8149693.822000232,75,2026-02-20
239,GLEN.L,238847402.6014797,75,2026-02-20
240,GMAB.CO,37786041.2776653,75,2026-02-20
241,GRG.L,11060992.633897722,75,2026-02-20
242,GRLS.MC,16833279.534373708,75,2026-02-20
243,GSK.L,225540125.9908958,75,2026-02-20
244,GTT.PA,17216715.982702315,75,2026-02-20
245,HAGG.DE,43759741.11033281,75,2026-02-20
246,HBANC.S,32341919.218269438,75,2026-02-20
247,HEIG.DE,96311054.31310456,75,2026-02-20
248,HEIN.AS,61432593.78675139,75,2026-02-20
249,HEIO.AS,14883417.73997185,75,2026-02-20
250,HEXAb.ST,45099624.05000225,75,2026-02-20
251,HIAB.HE,5083796.620569882,75,2026-02-20
252,HIK.L,16503349.50470142,75,2026-02-20
253,HLMA.L,40399400.58140236,75,2026-02-20
254,HLN.L,80743699.46357782,75,2026-02-20
255,HMb.ST,41275392.5500584,75,2026-02-20
256,HNKG_p.DE,34848912.35329373,75,2026-02-20
257,HNRGn.DE,36799679.64868172,75,2026-02-20
258,HOLMb.ST,9097306.664225714,75,2026-02-20
259,HOLN.S,118925373.79898295,75,2026-02-20
260,HOTG.DE,35033750.81263384,75,2026-02-20
261,HPOLb.ST,4986690.148205421,75,2026-02-20
262,HRA.MI,15735051.955710333,73,2026-02-20
263,HRMS.PA,135469051.78298667,75,2026-02-20
264,HSBA.L,323229729.34146714,75,2026-02-20
265,HSX.L,25810442.571497474,75,2026-02-20
266,HUBN.S,6711304.225417313,75,2026-02-20
267,HUH1V.HE,7624880.825101296,75,2026-02-20
268,HWDN.L,17939795.59846966,75,2026-02-20
269,IBE.MC,147187895.17160738,75,2026-02-20
270,ICAG.L,83012873.78961518,75,2026-02-20
271,ICGIN.L,28890169.5106586,75,2026-02-20
272,IDR.MC,51009901.42521826,75,2026-02-20
273,IETB.BR,12204783.710047286,75,2026-02-20
274,IFXGn.DE,181475878.06644553,75,2026-02-20
275,IG.MI,39748256.36830436,73,2026-02-20
276,IGG.L,17133010.60909686,75,2026-02-20
277,IHG.L,58504470.228378534,75,2026-02-20
278,III.L,112601515.96213293,75,2026-02-20
279,IMB.L,81480095.21821919,75,2026-02-20
280,IMCD.AS,30193095.557472967,75,2026-02-20
281,IMI.L,24177571.184786484,75,2026-02-20
282,INCH.L,8251844.250483243,75,2026-02-20
283,INDT.ST,8915167.782667123,75,2026-02-20
284,INDUc.ST,23122522.230234213,75,2026-02-20
285,INF.L,45152122.83026786,75,2026-02-20
286,INGA.AS,186172110.90412912,75,2026-02-20
287,INPST.AS,25603026.36203021,75,2026-02-20
288,INVEb.ST,123685345.5560113,75,2026-02-20
289,INVP.L,12383560.91453577,75,2026-02-20
290,INWT.MI,30463501.953608897,73,2026-02-20
291,IPN.PA,14052239.517870491,75,2026-02-20
292,ISP.MI,330970779.81823486,73,2026-02-20
293,ISS.CO,14044886.622070605,75,2026-02-20
294,ITPG.MI,16320233.200117392,73,2026-02-20
295,ITRK.L,25289918.028742336,75,2026-02-20
296,ITV.L,9878576.736061849,75,2026-02-20
297,ITX.MC,110425872.52586828,75,2026-02-20
298,IVG.MI,23193525.84394637,73,2026-02-20
299,JD.L,18309869.739052936,75,2026-02-20
300,JDEP.AS,12803566.856961261,75,2026-02-20
301,JMAT.L,11729767.740078317,75,2026-02-20
302,JMT.LS,18373538.242151637,75,2026-02-20
303,JYSK.CO,12739615.885608789,75,2026-02-20
304,KBC.BR,50671295.99354813,75,2026-02-20
305,KBCA.BR,4058995.9411565997,75,2026-02-20
306,KBX.DE,18927584.819863632,75,2026-02-20
307,KCRA.HE,13810108.964984346,75,2026-02-20
308,KEMIRA.HE,4921252.310203938,75,2026-02-20
309,KESKOB.HE,13006517.877790751,75,2026-02-20
310,KGF.L,26645943.8578168,75,2026-02-20
311,KGH.WA,85968949.68158177,75,2026-02-20
312,KGX.DE,18072132.710255858,75,2026-02-20
313,KINVb.ST,9311704.00085803,75,2026-02-20
314,KNEBV.HE,37578575.11166111,75,2026-02-20
315,KNIN.S,47837458.21194787,75,2026-02-20
316,KOG.OL,35718080.512283765,75,2026-02-20
317,KPN.AS,46496384.9535265,75,2026-02-20
318,KSP.I,34869836.935088836,75,2026-02-20
319,KYGa.I,31788384.375508964,75,2026-02-20
320,LAGRb.ST,8341152.010385691,75,2026-02-20
321,LAND.L,27449104.496769823,75,2026-02-20
322,LATOb.ST,9003912.472563276,75,2026-02-20
323,LDOF.MI,171159170.7713745,73,2026-02-20
324,LEGD.PA,96501941.06192455,75,2026-02-20
325,LEGn.DE,22588733.152311444,75,2026-02-20
326,LGEN.L,64586305.76470269,75,2026-02-20
327,LHAG.DE,39645949.08181675,75,2026-02-20
328,LIFCOb.ST,13292166.418030722,75,2026-02-20
329,LIGHT.AS,13094300.285205174,75,2026-02-20
330,LISP.S,35018603.70031174,75,2026-02-20
331,LLOY.L,225751305.34955537,75,2026-02-20
332,LMPL.L,17644879.776829958,75,2026-02-20
333,LOGN.S,76771354.11061494,75,2026-02-20
334,LOIM.PA,18359234.889196802,75,2026-02-20
335,LONN.S,100762782.01491092,75,2026-02-20
336,LOOMIS.ST,5892505.326044326,75,2026-02-20
337,LOTB.BR,7945988.524864235,75,2026-02-20
338,LPPP.WA,23462539.225149054,75,2026-02-20
339,LSEG.L,177859713.27317116,75,2026-02-20
340,LTEN.PA,5374244.521150007,75,2026-02-20
341,LTMC.MI,25314558.92082013,73,2026-02-20
342,LUNDb.ST,7804001.548823242,75,2026-02-20
343,LVMH.PA,277087391.5115747,75,2026-02-20
344,MAERSKb.CO,45358101.73081368,75,2026-02-20
345,MANTA.HE,7695867.088638277,75,2026-02-20
346,MAP.MC,19478448.3000403,75,2026-02-20
347,MBGn.DE,151236945.50972965,75,2026-02-20
348,MBK.WA,7070123.101149191,75,2026-02-20
349,METSO.HE,24215334.145422764,75,2026-02-20
350,MICP.PA,64361773.2798991,75,2026-02-20
351,MKS.L,46732057.56725904,75,2026-02-20
352,MNDI.L,25801116.768585786,75,2026-02-20
353,MNG.L,21010129.388295833,75,2026-02-20
354,MOBN.S,6791092.477865797,75,2026-02-20
355,MONC.MI,55704034.81962795,73,2026-02-20
356,MOWI.OL,22811527.44613733,75,2026-02-20
357,MRCG.DE,41585107.13320313,75,2026-02-20
358,MRL.MC,12782221.720574044,75,2026-02-20
359,MRON.L,25716378.856658082,75,2026-02-20
360,MT.AS,99003288.6861269,75,2026-02-20
361,MTO.L,8841575.464738464,75,2026-02-20
362,MTXGn.DE,50483762.28278135,75,2026-02-20
363,MUVGn.DE,158529561.34536415,75,2026-02-20
364,MWDP.PA,4577905.366286204,75,2026-02-20
365,MYCR.ST,4925919.811351332,75,2026-02-20
366,NAFG.DE,37202423.44986011,75,2026-02-20
367,NDAFI.HE,92528863.47389217,75,2026-02-20
368,NDXG.DE,18971792.44881582,75,2026-02-20
369,NEKG.DE,22369542.91862789,75,2026-02-20
370,NESN.S,363535945.40884,75,2026-02-20
371,NESTE.HE,31900394.22214056,75,2026-02-20
372,NEXII.MI,50415469.61961571,73,2026-02-20
373,NEXS.PA,19362107.847327624,75,2026-02-20
374,NG.L,156613357.7851002,75,2026-02-20
375,NHY.OL,32225083.739801787,75,2026-02-20
376,NIBEb.ST,29817893.867905546,75,2026-02-20
377,NKT.CO,16953926.619705517,75,2026-02-20
378,NN.AS,43155587.29254481,75,2026-02-20
379,NOD.OL,13620821.473508572,75,2026-02-20
380,NOKIA.HE,74557963.41565102,75,2026-02-20
381,NOVN.S,435885497.6241259,75,2026-02-20
382,NOVOb.CO,400603997.5254094,75,2026-02-20
383,NSISb.CO,38254279.86946435,75,2026-02-20
384,NTGY.MC,38555114.520693295,75,2026-02-20
385,NWG.L,185916262.9450659,75,2026-02-20
386,NXT.L,77367943.78980225,75,2026-02-20
387,OMVV.VI,18042648.060813904,75,2026-02-20
388,ORAN.PA,74339130.23190776,75,2026-02-20
389,OREP.PA,137135618.96105212,75,2026-02-20
390,ORK.OL,16052468.168661635,75,2026-02-20
391,ORNBV.HE,16529360.475085014,75,2026-02-20
392,ORSTED.CO,33745852.295825765,75,2026-02-20
393,P911_p.DE,30268006.333177935,75,2026-02-20
394,PEO.WA,37319482.73239382,75,2026-02-20
395,PERP.PA,59420800.85398415,75,2026-02-20
396,PGHN.S,95009041.42999211,75,2026-02-20
397,PHG.AS,42232145.40253943,75,2026-02-20
398,PHNX.L,19858094.66399946,75,2026-02-20
399,PHP.L,13959726.959864758,75,2026-02-20
400,PKN.WA,57681046.80111772,75,2026-02-20
401,PKO.WA,63720066.741788626,75,2026-02-20
402,PLUSP.L,9479840.655217173,75,2026-02-20
403,PNDORA.CO,41595890.48618419,75,2026-02-20
404,PNN.L,8726685.239789661,75,2026-02-20
405,PRTP.PA,84365788.18143696,75,2026-02-20
406,PRU.L,82449599.93126015,75,2026-02-20
407,PRX.AS,151890297.89973062,75,2026-02-20
408,PRY.MI,113485601.93596165,73,2026-02-20
409,PSHG_p.DE,26517563.344336893,75,2026-02-20
410,PSN.L,26659911.32177464,75,2026-02-20
411,PSON.L,28505767.486659896,75,2026-02-20
412,PSPN.S,11749073.888272876,75,2026-02-20
413,PST.MI,46659365.13929334,73,2026-02-20
414,PUBP.PA,57861069.861018665,75,2026-02-20
415,PUIGb.MC,11443705.06640259,75,2026-02-20
416,PUMG.DE,31652551.715324797,75,2026-02-20
417,PZU.WA,27718135.595148552,75,2026-02-20
418,QIA.DE,29434006.31798889,75,2026-02-20
419,QLT.L,7361533.048410136,75,2026-02-20
420,QQ.L,8384670.039898083,75,2026-02-20
421,R3NK.DE,45817957.462861516,75,2026-02-20
422,RAAG.DE,10140498.509360785,75,2026-02-20
423,RACE.MI,210860352.56908128,73,2026-02-20
424,RAND.AS,17170061.865921345,75,2026-02-20
425,RBIV.VI,20763592.696573224,75,2026-02-20
426,RBREW.CO,6325538.529167285,75,2026-02-20
427,RECI.MI,17936826.254901685,73,2026-02-20
428,REDE.MC,22453586.60658562,75,2026-02-20
429,REL.L,243071438.87495905,75,2026-02-20
430,RENA.PA,47352648.9112427,75,2026-02-20
431,REP.MC,74117067.18185197,75,2026-02-20
432,REY.MI,11468560.839786874,73,2026-02-20
433,RHMG.DE,434594722.63141656,75,2026-02-20
434,RILBA.CO,6909554.681383195,75,2026-02-20
435,RIO.L,247095264.91810954,75,2026-02-20
436,RKT.L,146929267.23998255,75,2026-02-20
437,RMV.L,34728386.00674628,75,2026-02-20
438,ROCKb.CO,13044065.950341446,75,2026-02-20
439,ROG.S,459660020.29109293,75,2026-02-20
440,ROR.L,9409540.102838157,75,2026-02-20
441,RR.L,392016806.8993217,75,2026-02-20
442,RS1R.L,13469856.420100346,75,2026-02-20
443,RTO.L,40847605.57102826,75,2026-02-20
444,RUBF.PA,4689338.595638491,75,2026-02-20
445,RWEG.DE,103618190.44039342,75,2026-02-20
446,RXL.PA,26902710.35618946,75,2026-02-20
447,RYA.I,53454948.636375844,75,2026-02-20
448,SAABb.ST,146653898.42825612,75,2026-02-20
449,SABE.MC,51554815.94624853,75,2026-02-20
450,SAF.PA,168556599.29135558,75,2026-02-20
451,SAGAb.ST,8059495.331449837,75,2026-02-20
452,SALM.OL,14771460.69587519,75,2026-02-20
453,SAMPO.HE,44070214.29823439,75,2026-02-20
454,SAN.MC,267174087.4735974,75,2026-02-20
455,SAND.ST,79828229.47864054,75,2026-02-20
456,SAPG.DE,481023600.7614676,75,2026-02-20
457,SASY.PA,195847274.81788334,75,2026-02-20
458,SATG_p.DE,26647738.475179423,75,2026-02-20
459,SAVE.ST,8911868.463393692,75,2026-02-20
460,SB1NO.OL,4430739.886147199,75,2026-02-20
461,SBMO.AS,11114173.48656649,75,2026-02-20
462,SBRY.L,34511628.06558087,75,2026-02-20
463,SCAb.ST,21419811.549107235,75,2026-02-20
464,SCHN.PA,235949816.96370575,75,2026-02-20
465,SCHP.S,34725736.15805923,75,2026-02-20
466,SCMN.S,59774580.19994634,75,2026-02-20
467,SCOR.PA,15313299.769359814,75,2026-02-20
468,SCTS.L,11745454.90938048,75,2026-02-20
469,SDFGn.DE,14324856.558316672,75,2026-02-20
470,SDR.L,24508877.340902176,75,2026-02-20
471,SDZ.S,54171677.34572629,75,2026-02-20
472,SEBa.ST,54646746.36362897,75,2026-02-20
473,SECTb.ST,3964285.882249652,75,2026-02-20
474,SECUb.ST,15865826.87108474,75,2026-02-20
475,SFSN.S,4435205.07291376,75,2026-02-20
476,SFZN.S,12372976.86474381,75,2026-02-20
477,SGE.L,54629290.70489928,75,2026-02-20
478,SGEF.PA,107634573.91648467,75,2026-02-20
479,SGOB.PA,100217711.51787315,75,2026-02-20
480,SGRO.L,26352915.083767947,75,2026-02-20
481,SGSN.S,40506504.569835424,75,2026-02-20
482,SHBa.ST,79580310.94422442,75,2026-02-20
483,SHCS.L,6795183.610832471,75,2026-02-20
484,SHEL.AS,206674704.77122685,75,2026-02-20
485,SHLG.DE,62657384.900349416,75,2026-02-20
486,SIEGn.DE,326233252.5289593,75,2026-02-20
487,SIGNC.S,23643989.788253557,75,2026-02-20
488,SIKA.S,120327563.67204706,75,2026-02-20
