Currency,Daily Total Return,Price Close,TRBC Economic Sector Name,Volume
USD,-1.064028374,211.999788,,592
USD,4.597701149,16.81,,141038
USD,15.245283019,244.31975568,,4870
USD,-1.606186794,16.54,,119406
USD,0.343811395,245.15975484,,15139
USD,6.257557437,17.575,,319364
USD,1.974220917,249.99975,,4274
USD,1.593172119,17.855,,158454
USD,-2.288,244.27975572,,812
USD,-0.336040325,17.795,,102766
USD,0.687735386,245.95975404,,2134
USD,0.561955606,17.895,,154210
USD,3.171247357,253.75974624,,1460
USD,1.173512154,18.105,,128246
USD,-1.450189155,250.07974992,,1042
USD,0.745650373,18.24,,99186
USD,-1.127639275,246.75975324,,525
USD,-2.521929825,17.78,,108680
USD,-2.253201491,241.1997588,,644
USD,-0.731158605,17.65,,189388
USD,-0.132669983,240.87975912,,588
USD,-1.529745042,17.38,,152822
USD,-5.181002989,228.3997716,,1726
USD,-2.617951669,16.925,,121504
USD,-1.1558669,225.75977424,,2526
USD,-3.013293944,16.415,,222838
USD,-4.004252303,216.71978328,,2415
USD,-0.182759671,16.385,,144138
USD,-2.122554448,212.11978788,,1911
USD,-0.091547147,16.37,,283272
USD,8.91947954,231.03976896,,7889
USD,-2.351863164,15.985,,101914
USD,-2.008310249,226.3997736,,1687
USD,5.786675008,16.91,,186886
USD,5.777385159,239.47976052,,1111
USD,-1.478415139,16.66,,126220
USD,-3.039919826,232.1997678,,1104
USD,1.770708283,16.955,,111298
USD,0.44788975,233.23976676,,332
USD,-0.412857564,16.885,,71080
USD,0.017149717,233.27976672,,584
USD,0.266508736,16.93,,56136
USD,1.680384088,237.1997628,,525
USD,-2.39220319,16.525,,121012
USD,-1.770657673,232.999767,,887
USD,0.726172466,16.645,,62244
USD,2.300429185,238.35976164,,1160
USD,-0.39050766,16.58,,97066
USD,1.476757845,241.87975812,,4148
USD,0.693606755,16.695,,218162
USD,2.546717381,248.03975196,,2342
USD,-1.437556155,16.455,,163028
USD,-1.822286728,243.51975648,,578
USD,1.336979641,16.675,,79486
USD,-0.295663601,242.7997572,,2563
USD,0.509745127,16.76,,240630
USD,-1.532125206,239.07976092,,1072
USD,0.80548926,16.895,,205888
USD,0.736155262,240.83975916,,575
USD,0.088783664,16.91,,101208
USD,0.04982561,240.95975904,,560
USD,1.123595506,17.1,,153870
USD,-1.112217795,238.27976172,,412
USD,-0.116959064,17.08,,138406
USD,0.386100386,239.1997608,,3207
USD,-2.956674473,16.575,,100108
USD,-0.033444816,239.11976088,,3384
USD,-1.266968326,16.365,,366394
USD,-0.485112078,237.95976204,,1820
USD,8.829819737,17.81,,404042
USD,1.630526139,241.83975816,,1126
USD,0.084222347,17.825,,161664
USD,-1.505127357,238.1997618,,1030
USD,3.842917251,18.51,,183136
USD,-1.225860621,235.27976472,,700
USD,0.675310643,18.635,,200350
USD,-1.394083645,231.999768,,650
USD,0.241481084,18.68,,188028
USD,-5.172413793,219.99978,,2121
USD,-1.766595289,18.35,,167720
USD,0.927272727,222.03977796,,697
USD,-0.980926431,18.17,,102078
USD,-0.432354531,221.07977892,,1106
USD,0.110071547,18.19,,201616
USD,2.659670707,226.95977304,,683
USD,-0.879604178,18.03,,67900
USD,-4.106450476,217.63978236,,618
USD,-0.19412091,17.995,,119160
USD,-1.084359493,215.27978472,,1650
USD,2.195054182,18.39,,187642
USD,2.619843924,220.91977908,,1057
USD,0.761283306,18.53,,164466
USD,-1.539018649,217.51978248,,870
USD,6.50296816,19.735,,349056
USD,0.0,217.51978248,,1118
USD,-2.178870028,19.305,,136404
USD,0.643618978,218.91978108,,1150
USD,-1.994301994,18.92,,147366
USD,-0.529873927,217.75978224,,487
USD,1.955602537,19.29,,96490
USD,2.351212344,222.87977712,,1075
USD,-0.259201659,19.24,,73104
USD,2.08183776,227.51977248,,975
USD,-1.897089397,18.875,,104298
USD,0.386779184,228.3997716,,2981
USD,0.238410596,18.92,,56750
USD,0.175131349,228.7997712,,454
USD,-0.422832981,18.84,,84656
USD,-3.059440559,221.7997782,,2741
USD,1.592356688,19.14,,183272
USD,-2.164111812,216.999783,,1413
USD,2.194357367,19.56,,151280
USD,5.622119816,229.1997708,,1230
USD,-0.383435583,19.485,,80972
USD,-0.942408377,227.03977296,,4025
USD,-2.335129587,19.03,,81650
USD,1.920366455,231.3997686,,3648
USD,-0.289017341,18.975,,55860
USD,0.29386344,232.07976792,,844
USD,2.108036891,19.375,,178462
USD,-0.637711134,230.5997694,,2282
USD,0.025806452,19.38,,85300
USD,2.168256722,235.5997644,,1310
USD,0.232198142,19.4,,166096
USD,-1.680814941,231.63976836,,980
USD,-1.984536082,19.015,,170668
USD,0.155413573,231.999768,,3086
USD,-1.919537207,18.65,,167454
USD,-1.120689655,229.3997706,,610
USD,-1.179624665,18.43,,162226
USD,1.115954664,231.95976804,,957
USD,-1.844818231,18.09,,192874
USD,-0.379375754,231.07976892,,869
USD,-1.050304035,17.9,,210360
USD,-4.050545266,221.71977828,,1421
USD,0.782122905,18.04,,184518
USD,-6.160923823,207.55979244,,1312
USD,2.66075388,18.52,,218226
USD,1.541722875,210.75978924,,851
USD,0.998920086,18.705,,268680
USD,2.505219207,216.03978396,,846
USD,1.630580059,19.01,,167204
USD,-0.666543233,214.5997854,,557
USD,-0.894266176,18.84,,116576
USD,-1.733457596,210.87978912,,878
USD,2.149681529,19.245,,125486
USD,3.072837633,217.35978264,,960
USD,-1.247077163,19.005,,99098
USD,-0.12881855,217.07978292,,1461
USD,0.184162063,19.04,,203062
USD,-3.040353787,210.47978952,,902
USD,-1.102941176,18.83,,288982
USD,6.955530217,225.11977488,,1295
USD,0.477960701,18.92,,106626
USD,0.977256574,227.31977268,,1000
USD,-0.845665962,18.76,,128466
USD,-1.460496217,223.999776,,634
USD,-0.39978678,18.685,,133694
USD,-0.017857143,223.95977604,,100
USD,-0.187316029,18.65,,192112
USD,-0.232184319,223.43977656,,632
USD,0.134048257,18.675,,111084
USD,0.96670247,225.5997744,,437
USD,1.499330656,18.955,,136830
USD,-2.234042553,220.55977944,,1162
USD,-0.633078343,18.835,,70220
USD,-0.30830613,219.87978012,,642
USD,-0.31855588,18.775,,106422
USD,-1.218846644,217.1997828,,275
USD,-1.438082557,18.505,,179006
USD,-0.994475138,215.03978496,,206
USD,0.297216968,18.56,,215400
USD,-1.320684524,212.1997878,,663
USD,3.300107759,19.1725,,376838
USD,-0.13195099,211.91978808,,689
USD,-2.360151258,18.72,,230048
USD,-4.341260853,202.71979728,,1499
USD,-1.469017094,18.445,,189458
USD,-0.157853197,202.3997976,,1366
USD,-1.030089455,18.255,,194144
USD,0.652173913,203.71979628,,1093
USD,-1.698164886,17.945,,170334
USD,-2.709601414,198.1998018,,1045
USD,-0.724435776,17.815,,129070
USD,-4.92431887,188.43981156,,874
USD,1.880437833,18.15,,146804
USD,4.287836977,196.51980348,,3093
USD,3.663911846,18.815,,191786
USD,4.78322817,205.91979408,,850
USD,-3.50783949,18.155,,119112
USD,-0.252525253,205.3997946,,578
USD,-0.192784357,18.12,,84760
USD,0.837390458,207.11979288,,790
USD,2.952538631,18.655,,131206
USD,-1.062186172,204.91979508,,1533
USD,-0.536049317,18.555,,98916
USD,4.391957837,213.91978608,,936
USD,-1.643761789,18.25,,100532
USD,-4.338070307,204.63979536,,400
USD,-0.273972603,18.2,,199224
USD,3.459734167,211.71978828,,482
USD,-1.950549451,17.845,,90698
USD,0.547893444,212.87978712,,825
USD,0.644438218,17.96,,147432
USD,0.93949643,214.87978512,,370
USD,3.81403118,18.645,,141678
USD,-1.35889799,211.95978804,,628
USD,1.233574685,18.875,,94554
USD,0.264200793,212.51978748,,589
USD,0.529801325,18.975,,54186
USD,0.752870318,214.11978588,,411
USD,-0.184453228,18.94,,106190
USD,0.971417897,216.1997838,,389
USD,-0.686378036,18.81,,133598
USD,-2.016651249,211.83978816,,1145
USD,1.382243488,19.07,,233628
USD,-2.284743202,206.999793,,1021
USD,-2.438384898,18.605,,133874
USD,-0.52173913,205.91979408,,470
USD,12.362268207,20.905,,1139716
USD,-0.543900544,204.7997952,,582
USD,1.650322889,21.25,,390274
USD,-0.3125,204.15979584,,362
USD,0.894117647,21.44,,480124
USD,0.607366771,205.3997946,,685
USD,-0.699626866,21.29,,219918
USD,-0.740019474,203.87979612,,920
USD,0.140911226,21.32,,132798
USD,-1.903080243,199.9998,,940
USD,-0.023452158,21.315,,94156
USD,-6.0999061,187.8,,3426
USD,-1.337086559,21.03,,323274
USD,5.047923323,197.28,,898
USD,0.879695673,21.215,,173896
USD,-0.486618005,196.32,,473
USD,-0.824888051,21.04,,102202
USD,-2.200488998,192.0,,335
USD,-0.570342205,20.92,,226514
USD,-4.6875,183.0,,648
USD,-1.266730402,20.655,,230198
USD,-4.06557377,175.56,,585
USD,1.307189542,20.925,,139442
USD,1.845522898,178.8,,945
USD,-1.314217443,20.65,,100864
USD,1.476510067,181.44,,417
USD,1.81598063,21.025,,170040
USD,0.595238095,182.52,,931
USD,-1.284185493,20.755,,85312
USD,8.481262327,198.0,,913
USD,0.529992773,20.865,,109566
USD,-2.363636364,193.32,,369
USD,-1.869158879,20.45,,187730
USD,-5.772811918,182.16,,1332
USD,-0.660146699,20.315,,134866
USD,-7.773386034,168.0,,7282
USD,0.443022397,20.405,,151952
USD,1.285714286,170.16,,972
USD,-3.553050723,19.68,,123950
USD,-4.301833568,162.84,,869
USD,0.863821138,19.85,,146272
USD,0.368459838,163.44,,208
USD,0.428211587,19.935,,161284
USD,-4.6989721,155.76,,1652
USD,2.031602709,20.34,,151942
USD,6.086286595,165.24,,3338
USD,-1.352015733,20.065,,106160
USD,0.798838054,165.96,,842
USD,3.189633691,20.705,,122032
